run_id,run_name,state,pretrained_model,tm_weight,model_type,max_context_utterances,batch_size,num_epochs,learning_rate,val_f1,val_accuracy,val_loss,train_loss,top_k_acc_3,val_cumulative70_pred_accuracy_plus_true,mean_js_divergence,epoch,class_macro_avg_f1,class_weighted_avg_f1
wpnq7qcm,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.0_v0_fold3,finished,unknown,0.0,bert,,,,,0.02367897372957133,0.08006362672322376,3.946149738629659,3.9720838286659936,0.16755037115588547,0.6532343584305408,0.26283970242864746,5.0,0.004696818026492995,0.02404041113103464
cv73zk37,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.0_v0_fold1,finished,unknown,0.0,bert,,,,,0.013884243867700655,0.057925223802001054,3.959124445915222,3.9899187434803354,0.18430753027909427,0.6692996313849394,0.27286390373352576,5.0,,0.006463416161616855
4in9dpqw,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.0_v0_fold0,finished,unknown,0.0,bert,,,,,0.01488978611766636,0.06121516674280494,3.9437063012804305,3.978086633682251,0.1585198720877113,0.5737779808131567,0.27491281260602685,5.0,0.0049523471979225995,0.017259934442327228
9u9i3fps,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.0_v0_fold0,finished,Eurobert_610m,0.0,history,,,,,0.14134234908610782,0.14116034719049794,4.527212054388864,0.29740389227867126,0.26678848789401555,0.6984924623115578,0.334716212752782,7.0,,0.1434058866435989
jgiux8kh,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.0_v0_fold2,finished,Eurobert_210m,0.0,history,,,,,0.1043970891045888,0.10810810810810811,4.517953252792358,1.0111654530872,0.21409644939056705,0.7461579226285109,0.30299771439860423,7.0,0.05548280784337537,0.10490790469967133
rtkr5n6o,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_0.0_v1_fold1,finished,Eurobert_210m,0.0,history,,,,,0.1399635696301606,0.1590310689836756,3.752462108929952,0.47423691099340265,0.31068983675618744,0.8077935755660874,0.2549956401905884,7.0,,0.14820752390620684
9cgexm4a,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.0_v0_fold1,finished,Eurobert_210m,0.0,history,,,,,0.11944850633888958,0.12796208530805686,4.170757945378622,0.46244603178717875,0.2601369141653502,0.8004212743549236,0.2758237810350431,7.0,0.0682667002217865,
3vmnmsfk,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_8_model_type_history_tm_weight_0.0_v2_fold1,finished,Eurobert_210m,0.0,history,,,,,0.1386914522950623,0.14902580305423907,3.937903936704,0.36394665132869375,0.29067930489731436,0.7725118483412322,0.2793378344301207,9.0,,0.1414315629589336
k70znb8t,380_full_categories_gbert_base_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_0.0_v1_fold0,finished,gbert_base,0.0,history,,,,,0.14640825126831752,0.17816354499771586,3.3761885166168213,2.34874981880188,0.3595248972133394,0.8337140246687985,0.2149302556297847,9.0,0.09124453458450067,0.14640825126831752
9t6tdlm8,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.0_v0_fold0,finished,Eurobert_210m,0.0,history,,,,,0.1291907387351336,0.13613522156235724,4.405397115434919,0.2409009426832199,0.25810872544540886,0.7450890817724989,0.3176652098992286,9.0,0.07679325443510963,0.139637163406679
3c3mhs29,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.0_v0_fold4,finished,Eurobert_210m,0.0,history,,,,,0.09330565742608132,0.10437235543018336,4.251917509471669,0.3879541427481408,0.22284908321579688,0.6948754113775271,0.29296161476190247,8.0,0.05720723543886519,0.10639332495652677
w6hit9vh,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.0_v0_fold4,finished,unknown,0.0,bert,,,,,0.029684130068844936,0.08086506817113305,3.835838991052964,3.8021252202052698,0.1871180065820404,0.6633756464503996,0.25599910466896547,10.0,0.0062550396088723636,
zqpdnv83,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.0_v0_fold3,finished,Eurobert_210m,0.0,history,,,,,0.13456755157136302,0.15641569459172852,3.8773065487543743,0.9127171874046326,0.28685047720042417,0.8404029692470838,0.23357178189464295,8.0,,0.12413226803502797
uqlmlrxa,380_full_categories_gbert_base_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.0_v0_fold0,finished,gbert_base,0.0,history,,,,,0.15329389637538218,0.17313841936957514,3.484050737108503,2.185546898841858,0.33485609867519417,0.9049794426678848,0.1862439257852676,10.0,0.06118338282771511,0.13833298969768593
67dm2yht,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_0.0_v1_fold0,finished,Eurobert_610m,0.0,history,,,,,0.015740377167075877,0.09273640931932388,3.646437610898699,3.663507080078125,0.21745089081772495,0.7747830059387848,0.19803621477356376,4.0,0.002926421404682274,0.015740377167075877
ix9f3m21,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_0.0_v1_fold0,finished,Eurobert_210m,0.0,history,,,,,0.15386563645138926,0.1566925536774783,4.147425488063267,0.12157994359731676,0.28597533120146185,0.7464595705801736,0.3139546263595978,10.0,0.09933090259320738,0.1536718352517487
y5fzfav8,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.0_v0_fold2,finished,unknown,0.0,bert,,,,,0.020865788743701912,0.06836248012718601,3.8344648440678912,3.743403382734819,0.16428192898781135,0.6788553259141494,0.2415983649117376,10.0,0.005508832773598886,0.02122965701719979
oxp25o3g,380_full_categories_simple_rnn_baseline_baseline_simple_rnn_tm_weight_0.0_v0_fold1,finished,unknown,0.0,bert,,,,,0.016763925675745774,0.095839915745129,3.6582993189493815,3.712424945831299,0.2148499210110585,0.6893101632438126,0.19824387567556703,5.0,0.003015791479560556,
22rj5078,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.2_v1_fold3,finished,unknown,0.2,bert,,,,,0.025324669190830568,0.088016967126193,4.026100730895996,4.054563786766746,0.1728525980911983,0.7301166489925769,0.23695907836280747,7.0,0.006099467334405481,0.022006420363375315
sp2le0yc,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.2_v1_fold1,finished,unknown,0.2,bert,,,,,0.02700781912904788,0.095839915745129,4.009346278508504,4.0583248788660224,0.20431806213796735,0.6777251184834123,0.24200758919070073,7.0,,0.02700781912904788
20f5rfys,380_full_categories_gbert_large_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.0_v0_fold0,finished,gbert_large,0.0,history,,,,,0.14885643953592792,0.15486523526724533,4.129622691018241,1.1075810754299165,0.2864321608040201,0.7802649611694837,0.2868561426781033,10.0,0.08003131952015476,0.15553316810711124
zre18wy4,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.2_v1_fold2,finished,unknown,0.2,bert,,,,,0.02031153260121379,0.07737148913619502,4.14784095287323,4.10460451299494,0.1589825119236884,0.6958134605193429,0.2672710091063225,5.0,0.006429250554432592,0.020311532601213794
lb41ae77,380_full_categories_simple_rnn_baseline_baseline_simple_rnn_tm_weight_0.0_v0_fold0,finished,unknown,0.0,bert,,,,,0.015740377167075877,0.09273640931932388,3.6620785168239047,3.710785303115845,0.21699406121516673,0.7747830059387848,0.2052515995709052,6.0,0.002926421404682274,0.015740377167075877
6zzgb28x,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.2_v1_fold0,finished,unknown,0.2,bert,,,,,0.02028601499759321,0.0858839652809502,4.0657016481672015,4.124887733459473,0.19689355870260392,0.7144814984010964,0.25913734734564015,7.0,0.00574907708395262,0.019545796828244116
0wy2osp2,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_0.0_v1_fold3,finished,Eurobert_210m,0.0,history,,,,,0.018797245741203204,0.09013785790031811,3.610786334673563,3.5956822742115366,0.23700954400848356,0.7582184517497349,0.184316122408969,5.0,0.004610255295186802,0.020375585548964688
nric3e5t,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.2_v1_fold4,finished,unknown,0.2,bert,,,,,0.02182536214196067,0.07851433944522802,4.124691843986511,4.123354837006214,0.153267512929008,0.6276445698166432,0.2715486004025716,6.0,0.00540102363339705,
d0z64aa1,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.5_v2_fold3,finished,unknown,0.5,bert,,,,,0.02092371407963661,0.08377518557794274,4.338721656799317,4.384472032026811,0.17762460233297986,0.7009544008483564,0.24342128784064543,6.0,0.004673127380625354,0.0210114530505119
1lt8y1xd,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_8_model_type_history_tm_weight_0.0_v2_fold0,finished,Eurobert_210m,0.0,history,,,,,0.15113738704954652,0.16948378254910915,3.928147097996303,0.20189436554908752,0.30973047053449065,0.7788944723618091,0.28556584278117864,10.0,0.06541197467184202,0.14422815402450834
jku0a7qf,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_12_model_type_history_tm_weight_0.0_v3_fold1,finished,Eurobert_210m,0.0,history,,,,,0.14271222071058431,0.15745129015271195,3.9669081926345826,0.19015906886620956,0.28751974723538704,0.7767245918904687,0.27541349318891717,10.0,,0.14385933666904255
e2p7cfxk,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.5_v2_fold1,finished,unknown,0.5,bert,,,,,0.02393992192834291,0.0947867298578199,4.2547500689824425,4.305193389545788,0.20221169036334913,0.6756187467087941,0.2342363827042976,8.0,0.004805510797924122,0.024947466185253318
tsk5scjc,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_8_model_type_history_tm_weight_0.0_v2_fold0,finished,Eurobert_610m,0.0,history,,,,,0.14076516185349774,0.15806304248515304,4.041862079075405,0.13063407599925994,0.31064412973960714,0.7505710370031978,0.3073691204595801,10.0,,0.1207678831688085
ds8d6vda,380_full_categories_simple_rnn_baseline_baseline_simple_rnn_tm_weight_0.2_v1_fold1,finished,unknown,0.2,bert,,,,,0.016763925675745774,0.095839915745129,3.807880043983459,3.858748626708985,0.2238020010531859,0.6893101632438126,0.1956927463720053,5.0,0.003015791479560556,0.016763925675745774
psfe0387,380_full_categories_simple_rnn_baseline_baseline_simple_rnn_tm_weight_0.2_v1_fold0,finished,unknown,0.2,bert,,,,,0.015740377167075877,0.09273640931932388,3.845621381487166,3.8969122695922858,0.21699406121516673,0.7747830059387848,0.20800449343474503,5.0,0.002926421404682274,0.015740377167075877
7p3omuhy,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_0.0_v1_fold2,finished,Eurobert_210m,0.0,history,,,,,0.11846774739895542,0.13672496025437203,4.091313139597575,0.21249434893781488,0.2665606783253842,0.7461579226285109,0.2936727688762771,9.0,0.07189711847991957,0.10103866986070568
8hzaqpbh,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.5_v2_fold2,finished,unknown,0.5,bert,,,,,0.011547634436111334,0.048754636989931106,4.4677944819132485,4.4187681024724785,0.1568627450980392,0.42342342342342343,0.267567876034163,5.0,0.0039380737080559535,0.011547634436111334
jtdpqk2m,380_full_categories_simple_rnn_baseline_baseline_simple_rnn_tm_weight_0.5_v2_fold1,finished,unknown,0.5,bert,,,,,0.016763925675745774,0.095839915745129,4.035632650057475,4.097002675316551,0.2238020010531859,0.6893101632438126,0.1943091875818788,5.0,0.003015791479560556,
laqbfp5n,380_full_categories_gbert_base_phase_full_transition_loss_ctx_8_model_type_history_tm_weight_0.0_v2_fold0,finished,gbert_base,0.0,history,,,,,0.15268200097435786,0.1717679305619004,3.3709175246102467,2.2395355033874513,0.3435358611238008,0.8095020557332115,0.23063097727062076,10.0,,0.08880177997451497
xqjnes4p,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_1.0_v3_fold3,finished,unknown,1.0,bert,,,,,0.022617231812863185,0.08907741251325557,4.771671867370605,4.823537419059059,0.22269353128313893,0.7439024390243902,0.23760010564292955,6.0,0.0057781757660253265,0.020226552608996314
0otc86c2,380_full_categories_gbert_large_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_0.0_v1_fold0,finished,gbert_large,0.0,history,,,,,0.1768113678755428,0.1918684330744632,3.601586948122297,1.53822265625,0.35358611238008225,0.7830059387848333,0.27663464553485145,10.0,0.1170698718921665,0.1768113678755428
galbtmu8,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_0.5_v2_fold0,finished,unknown,0.5,bert,,,,,0.02299420622124439,0.09410689812699864,4.190452214649746,4.250262851715088,0.21105527638190957,0.7332115121059845,0.22864012788682084,10.0,0.0062106643163088665,0.02402589689071875
05hf4i28,380_full_categories_minimal_rnn_baseline_minimal_rnn_tm_weight_1.0_v3_fold2,finished,unknown,1.0,bert,,,,,0.011709931765505926,0.06253312135665076,4.881927951176961,4.761871259862726,0.1685214626391097,0.6301006889242183,0.25167193074854344,7.0,0.0030102808229549977,0.012174666658342768
